id,city.id.$numberLong,city.name,city.findname,city.country,city.coord.lon,city.coord.lat,city.zoom.$numberLong,id.$numberLong
107797,107797,Dhahran,DHAHRAN,SA,50.135281,26.30324,12,
,107959,At Taraf,AT TARAF,SA,49.72504,25.362761,11,107959
107968,107968,Taif,TAIF,SA,40.415829,21.270281,8,
,108048,As Sulayyil,AS SULAYYIL,SA,45.577919,20.46067,6,108048
108410,108410,Riyadh,RIYADH,SA,46.721851,24.687731,1,
108435,108435,Ar Rass,AR RASS,SA,43.497299,25.86944,9,
,108512,Arar,ARAR,SA,41.038078,30.975309,6,108512
108617,108617,An Nimas,AN NIMAS,SA,42.120098,19.14547,8,
,108648,Al Qurayyat,AL QURAYYAT,SA,37.342819,31.33176,7,108648
,108773,Al Wajh,AL WAJH,SA,36.45248,26.24551,7,108773
,108918,Al Qaysumah,AL QAYSUMAH,SA,46.127289,28.311171,7,108918
108927,108927,Al Qatif,AL QATIF,SA,50.024521,26.5208,11,
109059,109059,Al Munayzilah,AL MUNAYZILAH,SA,49.666672,25.383329,12,
109101,109101,Al Mubarraz,AL MUBARRAZ,SA,49.58083,25.41,11,
109223,109223,Medina,MEDINA,SA,39.61417,24.468611,5,
,109323,Al Khubar,AL KHUBAR,SA,50.208328,26.27944,10,109323
,109380,Al Khafji,AL KHAFJI,SA,48.491322,28.439051,8,109380
,109417,Al Jumum,AL JUMUM,SA,39.698059,21.61694,10,109417
109435,109435,Al Jubayl,AL JUBAYL,SA,49.65826,27.011221,8,
,109571,Al Hufuf,AL HUFUF,SA,49.565319,25.364571,8,109571
,109878,Al Bukayriyah,AL BUKAYRIYAH,SA,43.659328,26.14422,9,109878
,109915,Al Battaliyah,AL BATTALIYAH,SA,49.633331,25.433331,12,109915
,109953,Al Bahah,AL BAHAH,SA,41.46767,20.01288,7,109953
110250,110250,Afif,AFIF,SA,42.91724,23.9065,7,
110314,110314,Ad Dilam,AD DILAM,SA,47.162659,23.991461,6,
,110325,Ad Dawadimi,AD DAWADIMI,SA,44.392368,24.507721,7,110325
110336,110336,Ad Dammam,AD DAMMAM,SA,50.10326,26.43442,6,
,110619,Abu Arish,ABU ARISH,SA,42.832512,16.96887,10,110619
110690,110690,Abha,ABHA,SA,42.50528,18.216391,10,
,110831,Shah Pasand,SHAH PASAND,IR,55.173969,37.087009,10,110831
